keyword
bargain
bill
bounty
charge
cheap
cheaper
cheapo
cost
costly
cutprice
cutrate
dimeadozen
dollar
economical
economy
estimate
excessive
exorbitant
expenditure
expense
extravagant
fee
figure
highpriced
incalculable
inestimable
inexpensive
inordinate
invaluable
lavish
lowcost
lowpriced
lowrent
matter
outlay
overpriced
paid
pay
payment
penalty
penny
premium
price
price tag
priceless
pricey
pricing
rate
shoddy
sordid
steep
tawdry
tinhorn
toll
treasured
valuation
value
worth
worthless
expensive
discount
money
sum
spent
overcharge
rates
worthiness
